competition,rank,team_id,team_name,played,wins,draws,losses,gf,ga,gd,points
ACL3,13,TPE_M_FC,타이베이,8,5,0,3,39,37,2,2
ACL3,14,MDV_T_FC,말레,8,4,2,2,25,25,0,2
ACL3,15,BHU_R_FC,팀푸,8,5,0,3,38,25,13,1
ACL3,16,NEP_S_FC2,포카라,8,3,0,5,25,28,-3,1
ACL3,17,LKA_U_FC,콜롬보,6,1,3,2,21,20,1,0
ACL3,18,VIE_H_FC2,호찌민,6,2,0,4,30,30,0,0
ACL3,19,PHI_K_FC22,다바오,6,1,1,4,17,20,-3,0
ACL3,20,KGZ_Q_FC,비슈케크,6,2,0,4,27,32,-5,0
ACL3,21,BGD_V_FC,다카,6,2,1,3,25,31,-6,0
ACL3,22,PLE_O_FC,가자,6,3,0,3,20,26,-6,0
ACL3,23,IND_K_FC,뉴델리,6,2,0,4,21,32,-11,0
ACL3,24,MYA_Q_FC,양곤,6,1,0,5,16,27,-11,0
ACL3,25,IND_K_FC2,뭄바이,6,0,2,4,13,24,-11,0
ACL3,26,KUW_L_FC,쿠웨이트시티,6,1,0,5,22,34,-12,0
ACL3,27,GUM_T_FC,하갓냐,6,2,0,4,13,28,-15,0
ACL3,28,PRK_S_FC,평양,6,1,1,4,16,32,-16,0
ACL3,29,TJK_M_FC,두샨베,6,1,0,5,15,31,-16,0
ACL3,30,MNG_V_FC,울란바토르,6,2,1,3,27,44,-17,0
ACL3,31,MAS_G_FC3,페낭,6,1,1,4,21,45,-24,0
ACL3,32,NMI_R_FC,가라판,6,1,1,4,8,33,-25,0
